,Date,Start (ET),Visitor/Neutral,Home/Neutral,Location,Arena
0,2023-10-05,,Anadolu Efes,Barcelona,"Barcelona, Spain",Palau Blaugrana
1,2023-10-05,,ALBA Berlin,Bayern München,"Munich, Germany",BMW Park
2,2023-10-05,,Partizan Mozzart Bet,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
3,2023-10-05,,LDLC ASVEL,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
4,2023-10-05,,Žalgiris,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
5,2023-10-06,,Olympiacos,Panathinaikos,"Athens, Greece",OAKA Altion
6,2023-10-06,,EA7 Emporio Armani Milano,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
7,2023-10-06,,AS Monaco,Valencia Basket,"Valencia, Spain",La Fonteta
8,2023-10-06,,Real Madrid,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
9,2023-10-12,,Baskonia,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
10,2023-10-12,,Real Madrid,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
11,2023-10-12,,Maccabi Playtika Tel Aviv,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
12,2023-10-12,,Bayern München,Panathinaikos,"Athens, Greece",OAKA Altion
13,2023-10-12,,Partizan Mozzart Bet,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
14,2023-10-13,,Virtus Segafredo Bologna,AS Monaco,Monaco,Salle Gaston Medecin
15,2023-10-13,,Barcelona,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
16,2023-10-13,,Fenerbahçe Beko,Valencia Basket,"Valencia, Spain",La Fonteta
17,2023-10-13,,Crvena zvezda Meridianbet,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
18,2023-10-17,,LDLC ASVEL,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
19,2023-10-17,,Olympiacos,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
20,2023-10-17,,Barcelona,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
21,2023-10-17,,Žalgiris,Real Madrid,"Madrid, Spain",WiZink Center
22,2023-10-17,,Panathinaikos,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
23,2023-10-17,,Bayern München,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
24,2023-10-18,,Valencia Basket,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
25,2023-10-18,,AS Monaco,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
26,2023-10-18,,ALBA Berlin,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
27,2023-10-19,,Partizan Mozzart Bet,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
28,2023-10-19,,EA7 Emporio Armani Milano,Real Madrid,"Madrid, Spain",WiZink Center
29,2023-10-19,,LDLC ASVEL,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
30,2023-10-19,,Žalgiris,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
31,2023-10-20,,Valencia Basket,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
32,2023-10-20,,Bayern München,Barcelona,"Barcelona, Spain",Palau Blaugrana
33,2023-10-20,,ALBA Berlin,AS Monaco,Monaco,Salle Gaston Medecin
34,2023-10-20,,Maccabi Playtika Tel Aviv,Panathinaikos,"Athens, Greece",OAKA Altion
35,2023-10-20,,Crvena zvezda Meridianbet,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
36,2023-10-26,,EA7 Emporio Armani Milano,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
37,2023-10-26,,Maccabi Playtika Tel Aviv,AS Monaco,Monaco,Salle Gaston Medecin
38,2023-10-26,,Anadolu Efes,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
39,2023-10-26,,Crvena zvezda Meridianbet,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
40,2023-10-26,,Barcelona,Real Madrid,"Madrid, Spain",WiZink Center
41,2023-10-27,,Fenerbahçe Beko,Bayern München,"Munich, Germany",BMW Park
42,2023-10-27,,Baskonia,Panathinaikos,"Athens, Greece",OAKA Altion
43,2023-10-27,,Virtus Segafredo Bologna,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
44,2023-10-27,,Valencia Basket,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
45,2023-10-31,,Maccabi Playtika Tel Aviv,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
46,2023-11-02,,Real Madrid,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
47,2023-11-02,,AS Monaco,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
48,2023-11-02,,Bayern München,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
49,2023-11-02,,Olympiacos,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
50,2023-11-02,,LDLC ASVEL,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
51,2023-11-03,,Panathinaikos,Barcelona,"Barcelona, Spain",Palau Blaugrana
52,2023-11-02,,ALBA Berlin,Valencia Basket,"Valencia, Spain",La Fonteta
53,2023-11-03,,Anadolu Efes,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
54,2023-11-03,,Partizan Mozzart Bet,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
55,2023-11-09,,Žalgiris,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
56,2023-11-09,,Bayern München,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
57,2023-11-09,,Valencia Basket,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
58,2023-11-09,,Baskonia,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
59,2023-11-09,,Fenerbahçe Beko,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
