,Date,Start (ET),Visitor/Neutral,Home/Neutral,Arena
0,2023-10-05,,Anadolu Efes,Barcelona,Palau Blaugrana
1,2023-10-05,,ALBA Berlin,Bayern München,Location not found
2,2023-10-05,,Partizan Mozzart Bet,Maccabi Playtika Tel Aviv,Location not found
3,2023-10-05,,LDLC ASVEL,Crvena zvezda Meridianbet,Location not found
4,2023-10-05,,Žalgiris,Virtus Segafredo Bologna,Location not found
5,2023-10-06,,Olympiacos,Panathinaikos,O.A.K.A. Olympic Indoor Hall
6,2023-10-06,,EA7 Emporio Armani Milano,Fenerbahçe Beko,Ülker Sports Arena
7,2023-10-06,,AS Monaco,Valencia Basket,Pavelló Municipal Font de San Lluís
8,2023-10-06,,Real Madrid,Baskonia,Fernando Buesa Arena
9,2023-10-12,,Baskonia,ALBA Berlin,Location not found
10,2023-10-12,,Real Madrid,Anadolu Efes,Sinan Erdem Dome
11,2023-10-12,,Maccabi Playtika Tel Aviv,EA7 Emporio Armani Milano,Location not found
12,2023-10-12,,Bayern München,Panathinaikos,O.A.K.A. Olympic Indoor Hall
13,2023-10-12,,Partizan Mozzart Bet,LDLC ASVEL,Astroballe
14,2023-10-13,,Virtus Segafredo Bologna,AS Monaco,Location not found
15,2023-10-13,,Barcelona,Olympiacos,Peace and Friendship Stadium
16,2023-10-13,,Fenerbahçe Beko,Valencia Basket,Pavelló Municipal Font de San Lluís
17,2023-10-13,,Crvena zvezda Meridianbet,Žalgiris,Žalgirio Arena
18,2023-10-17,,LDLC ASVEL,Anadolu Efes,Sinan Erdem Dome
19,2023-10-17,,Olympiacos,EA7 Emporio Armani Milano,Location not found
20,2023-10-17,,Barcelona,Partizan Mozzart Bet,Location not found
21,2023-10-17,,Žalgiris,Real Madrid,WiZink Center
22,2023-10-17,,Panathinaikos,Fenerbahçe Beko,Ülker Sports Arena
23,2023-10-17,,Bayern München,Baskonia,Fernando Buesa Arena
24,2023-10-18,,Valencia Basket,Maccabi Playtika Tel Aviv,Location not found
25,2023-10-18,,AS Monaco,Crvena zvezda Meridianbet,Location not found
26,2023-10-18,,ALBA Berlin,Virtus Segafredo Bologna,Location not found
27,2023-10-19,,Partizan Mozzart Bet,Olympiacos,Peace and Friendship Stadium
28,2023-10-19,,EA7 Emporio Armani Milano,Real Madrid,WiZink Center
29,2023-10-19,,LDLC ASVEL,Fenerbahçe Beko,Ülker Sports Arena
30,2023-10-19,,Žalgiris,Baskonia,Fernando Buesa Arena
31,2023-10-20,,Valencia Basket,Anadolu Efes,Sinan Erdem Dome
32,2023-10-20,,Bayern München,Barcelona,Palau Blaugrana
33,2023-10-20,,ALBA Berlin,AS Monaco,Location not found
34,2023-10-20,,Maccabi Playtika Tel Aviv,Panathinaikos,O.A.K.A. Olympic Indoor Hall
35,2023-10-20,,Crvena zvezda Meridianbet,Virtus Segafredo Bologna,Location not found
36,2023-10-26,,EA7 Emporio Armani Milano,ALBA Berlin,Location not found
37,2023-10-26,,Maccabi Playtika Tel Aviv,AS Monaco,Location not found
38,2023-10-26,,Anadolu Efes,Olympiacos,Peace and Friendship Stadium
