,Date,Start (ET),Visitor/Neutral,Home/Neutral,Arena,Location
0,2024-02-01,7:30p,Los Angeles Lakers,Boston Celtics,TD Garden,"Boston, MA"
1,2024-02-01,7:30p,Indiana Pacers,New York Knicks,Madison Square Garden (IV),"New York, NY"
2,2024-02-01,8:00p,Cleveland Cavaliers,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
3,2024-02-01,10:00p,Philadelphia 76ers,Utah Jazz,Delta Center,"Salt Lake City, UT"
4,2024-02-02,7:00p,Los Angeles Clippers,Detroit Pistons,Little Caesars Arena,"Detroit, MI"
5,2024-02-02,7:00p,Miami Heat,Washington Wizards,Capital One Arena,"Washington, DC"
6,2024-02-02,7:30p,Phoenix Suns,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
7,2024-02-02,7:30p,Sacramento Kings,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
8,2024-02-02,8:00p,Toronto Raptors,Houston Rockets,Toyota Center,"Houston, TX"
9,2024-02-02,8:00p,Golden State Warriors,Memphis Grizzlies,FedEx Forum,"Memphis, TN"
10,2024-02-02,8:00p,Orlando Magic,Minnesota Timberwolves,Target Center,"Minneapolis, MN"
11,2024-02-02,8:00p,Charlotte Hornets,Oklahoma City Thunder,Paycom Center,"Oklahoma City, OK"
12,2024-02-02,8:00p,New Orleans Pelicans,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
13,2024-02-02,9:00p,Portland Trail Blazers,Denver Nuggets,Ball Arena,"Denver, CO"
14,2024-02-03,6:00p,Brooklyn Nets,Philadelphia 76ers,Wells Fargo Center,"Philadelphia, PA"
15,2024-02-03,7:30p,Golden State Warriors,Atlanta Hawks,State Farm Arena,"Atlanta, GA"
16,2024-02-03,8:00p,Sacramento Kings,Chicago Bulls,United Center,"Chicago, IL"
17,2024-02-03,8:30p,Milwaukee Bucks,Dallas Mavericks,American Airlines Center,"Dallas, TX"
18,2024-02-03,8:30p,Los Angeles Lakers,New York Knicks,Madison Square Garden (IV),"New York, NY"
19,2024-02-03,8:30p,Cleveland Cavaliers,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
20,2024-02-04,3:00p,Orlando Magic,Detroit Pistons,Little Caesars Arena,"Detroit, MI"
